Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"9,804",94.333,0.04893
2,ACTA CRYSTALLOGRAPHICA SECTION A,"13,946",54.333,0.04635
3,NEW ENGLAND JOURNAL OF MEDICINE,"227,679",53.486,0.68835
4,REVIEWS OF MODERN PHYSICS,"29,872",51.695,0.10706
5,Annual Review of Immunology,"16,100",49.271,0.06241
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"26,838",38.65,0.18576
7,NATURE REVIEWS CANCER,"26,729",37.184,0.12979
8,NATURE GENETICS,"76,301",36.377,0.35745
9,NATURE,"511,248",36.104,1.7352
10,NATURE REVIEWS IMMUNOLOGY,"21,080",35.196,0.12381
11,LANCET,"155,736",33.633,0.37864
12,CHEMICAL REVIEWS,"88,391",33.036,0.19901
13,NATURE REVIEWS GENETICS,"18,519",32.745,0.12207
14,CELL,"167,591",32.406,0.70027
15,SCIENCE,"469,815",31.377,1.45546
16,NATURE BIOTECHNOLOGY,"34,523",31.09,0.13159
17,Nature Nanotechnology,"11,425",30.324,0.09459
18,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"117,497",30.011,0.30839
19,NATURE MATERIALS,"32,037",29.92,0.21044
20,Annual Review of Biochemistry,"18,621",29.742,0.06103
21,NATURE REVIEWS NEUROSCIENCE,"21,755",29.51,0.11197
22,NATURE REVIEWS DRUG DISCOVERY,"14,742",28.712,0.06704
23,PHYSIOLOGICAL REVIEWS,"20,265",28.417,0.04847
24,Annual Review of Plant Biology,"11,673",28.415,0.02606
25,Annual Review of Astronomy and Astrophysics,"6,856",27.444,0.0214
26,CANCER CELL,"17,941",26.925,0.10888
27,Annual Review of Neuroscience,"11,465",26.756,0.03328
28,CHEMICAL SOCIETY REVIEWS,"24,951",26.585,0.10804
29,Nature Photonics,"6,966",26.506,0.0635
30,Cell Stem Cell,"6,982",25.943,0.06641
31,NATURE IMMUNOLOGY,"30,335",25.668,0.18267
32,NATURE MEDICINE,"53,666",25.43,0.1806
33,IMMUNITY,"31,635",24.221,0.1687
34,PROGRESS IN POLYMER SCIENCE,"10,825",22.87,0.02729
35,ENDOCRINE REVIEWS,"13,093",22.469,0.02563
36,BEHAVIORAL AND BRAIN SCIENCES,"5,902",21.952,0.01261
36,BEHAVIORAL AND BRAIN SCIENCES,"5,902",21.952,0.01261
38,ACCOUNTS OF CHEMICAL RESEARCH,"33,869",21.852,0.09692
39,Annual Review of Genetics,"6,116",21.774,0.02965
40,LANCET NEUROLOGY,"11,076",21.659,0.06178
41,ADVANCES IN PHYSICS,"4,193",21.214,0.01224
42,NATURE METHODS,"12,094",20.721,0.11096
43,NATURE REVIEWS MICROBIOLOGY,"10,352",20.686,0.07008
44,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"4,167",19.75,0.00951
45,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"19,243",19.438,0.05742
46,NATURE CELL BIOLOGY,"28,409",19.407,0.16608
47,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"6,842",19.238,0.01736
48,JOURNAL OF CLINICAL ONCOLOGY,"114,318",18.97,0.39796
49,PHARMACOLOGICAL REVIEWS,"9,382",18.861,0.01792
50,Annual Review of Pathology-Mechanisms of Disease,"1,527",18.778,0.01256
51,SURFACE SCIENCE REPORTS,"3,618",18.593,0.00997
52,Nature Physics,"11,344",18.43,0.15208
53,ANNUAL REVIEW OF PSYCHOLOGY,"8,666",18.288,0.024
53,ANNUAL REVIEW OF PSYCHOLOGY,"8,666",18.288,0.024
55,Cell Metabolism,"8,682",18.207,0.07559
56,Nature Chemistry,"2,041",17.927,0.01299
57,LANCET ONCOLOGY,"10,853",17.764,0.05532
58,Annual Review of Biophysics,811,17.524,0.00829
59,Annual Review of Genomics and Human Genetics,"2,112",17.182,0.01538
60,ANNALS OF INTERNAL MEDICINE,"45,766",16.729,0.12078
61,PROGRESS IN MATERIALS SCIENCE,"4,660",16.658,0.01674
62,LANCET INFECTIOUS DISEASES,"7,199",16.144,0.03525
63,ANNUAL REVIEW OF PHYSIOLOGY,"7,439",16.106,0.01927
64,Nature Chemical Biology,"6,991",15.808,0.06019
65,PLOS MEDICINE,"10,370",15.617,0.0831
66,MOLECULAR PSYCHIATRY,"11,337",15.47,0.04398
67,ASTRONOMY AND ASTROPHYSICS REVIEW,704,15.438,0.00329
68,ECOLOGY LETTERS,"12,913",15.253,0.06619
69,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"21,079",15.206,0.09159
70,Annual Review of Marine Science,344,15,0.00288
